Hostname,Date,Value
CRI-WIN-SERVER1,22/11/2016 08:00:00,53.93
CRI-WIN-SERVER1,22/11/2016 07:00:00,53.91
CRI-WIN-SERVER1,22/11/2016 06:00:00,53.91
CRI-WIN-SERVER1,22/11/2016 05:00:00,53.92
CRI-WIN-SERVER1,22/11/2016 04:00:00,53.95
CRI-WIN-SERVER1,22/11/2016 03:00:00,53.93
CRI-WIN-SERVER1,22/11/2016 02:00:00,53.92
CRI-WIN-SERVER1,22/11/2016 01:00:00,53.25
CRI-WIN-SERVER1,22/11/2016 00:00:00,52.54
CRI-WIN-SERVER1,21/11/2016 23:00:00,52.52
CRI-WIN-SERVER1,21/11/2016 22:00:00,52.53
CRI-WIN-SERVER1,21/11/2016 21:00:00,52.52
CRI-WIN-SERVER1,21/11/2016 20:00:00,52.54
CRI-WIN-SERVER1,21/11/2016 19:00:00,52.56
CRI-WIN-SERVER1,21/11/2016 18:00:00,52.56
CRI-WIN-SERVER1,21/11/2016 17:00:00,52.28
CRI-WIN-SERVER1,21/11/2016 16:00:00,51.99
CRI-WIN-SERVER1,21/11/2016 15:00:00,51.99
CRI-WIN-SERVER1,21/11/2016 14:00:00,51.99
CRI-WIN-SERVER1,21/11/2016 13:00:00,52.02
CRI-WIN-SERVER1,21/11/2016 12:00:00,52.02
CRI-WIN-SERVER1,21/11/2016 11:00:00,51.99
CRI-WIN-SERVER1,21/11/2016 10:00:00,52.03
CRI-WIN-SERVER1,21/11/2016 09:00:00,51.67
CRI-WIN-SERVER1,21/11/2016 08:00:00,51.28
CRI-WIN-SERVER1,21/11/2016 07:00:00,51.19
CRI-WIN-SERVER1,21/11/2016 06:00:00,50.97
CRI-WIN-SERVER1,21/11/2016 05:00:00,50.71
CRI-WIN-SERVER1,21/11/2016 04:00:00,49.75
CRI-WIN-SERVER1,21/11/2016 03:00:00,47.23
CRI-WIN-SERVER1,21/11/2016 02:00:00,45.55
CRI-WIN-SERVER1,21/11/2016 01:00:00,45.55
CRI-WIN-SERVER1,21/11/2016 00:00:00,45.52
CRI-WIN-SERVER1,20/11/2016 23:00:00,45.5
CRI-WIN-SERVER1,20/11/2016 22:00:00,45.49
CRI-WIN-SERVER1,20/11/2016 21:00:00,45.49
CRI-WIN-SERVER1,20/11/2016 20:00:00,45.5
CRI-WIN-SERVER1,20/11/2016 19:00:00,45.52
CRI-WIN-SERVER1,20/11/2016 18:00:00,45.54
CRI-WIN-SERVER1,20/11/2016 17:00:00,45.51
CRI-WIN-SERVER1,20/11/2016 16:00:00,45.48
CRI-WIN-SERVER1,20/11/2016 15:00:00,45.48
